RID,document
0,아 더빙.. 진짜 짜증나네요 목소리
0,설정이 재밌고 새로운 에피소드 내에서 메인 스토리도 차차 나오는게 재밌음
0,"신카이 마코토의 작화와,미유와 하나카나가 연기를 잘해줘서 더대박이였다."
0,재미없음 진심 1이훨나 캐스팅두못한듯
0,잔잔한게 생각보다 볼만한 영화인거 같습니다 ㅋ
0,감독님들 고은님 쓰면 영화안봅니다 .
0,무섭지도 않았고 스토리도 ..ㅡㅡ
0,영화속 억지스럽고 노골적인 술광고를 좀 은은하고 센스있게 했으면 어땠을까?
0,킬링타임
0,크리스마스하면 떠오르는영화
0,"재미있게 봤습니다. 매력적인 행복이네요, '-' ㅎㅎㅎ."
0,음악에 완전히 빠져서 볼 수 있었던 영화. 쫌 산만하긴 하던데;;
0,"태어나서 처음으로 영화보다 중간에 나왔습니다,,,,불륜이 로맨스냐,,"
0,왕짜증.....아주 전개를 짬뽕으로 믹스했구나...음향만 무섭게하네..하아
0,솔직히 난 별루더라 시간낭비느낌
0,대박
0,진짜 보면서 너무 슬펐던 영화다
0,클라라볼라고화신본거아닌데
0,재미있는영화입니다.
0,어내스트와 셀레스틴 완전 강추에요~ 정말 재밌습니다^^
0,아햏햏 아햏햏 아햏햏.
0,뭐냐..시작하고 3분만에 나왔다. 리플릿 사진 보며 불안하더니만..
0,단연 최고라고 할수있지
0,"감독이 럼먹고 영화를 만들었나보다.. 관객에게 뭘 말하는지도 모르겠고, 엉망진창 개진창이다."
0,이건 뭐냐? 우뢰매냐? ;;;
0,정말쓰레기영화입니다
0,진정 위대한 영화 최고임
0,시청률 기준이 되는 패널가구들 머하는거지 명작드라마 다 망치네 ㅡㅡ 내가 다 서운하다...
0,별루 였다..
0,근데 조미가 막문위 좋아한건가요??
0,ㅋㅋㅋ 진짜 골깜..ㅋㅋ 눈 부라릴때 쓰러짐..ㅋㅋ
0,성룡영화중 최악인듯 ㅋㅋ
0,골때리네ㅋㅋㅋㅋ 걸스데이 이혜리 잘 되라!
0,서기가이뻐서
0,완전 재밌어요ㅋㅋㅋㅋㅋ백인공주귀여움ㅋㅋㅋㅋㅋㅋ
0,인상적인 영화였다
0,내일이 기대되는 `
0,한국영화 흥행코드: 갈등-갈등-계~에속 갈등-화해-감동- 평점 10점 남발- 흥행 뻔하지 뭐...
0,내용이 이상해;
